country	field	tok	kind	p
US	name	barbershop	generic_business	1.0
US	name	staffing	generic_business	1.0
US	name	moore	distinctive	1.0
FRANCE	name	du	connector	1.0
FRANCE	name	hubert	distinctive	1.0
FRANCE	name	louise	distinctive	1.0
FRANCE	name	dans	connector	1.0
FRANCE	name	travaux	generic_business	1.0
FRANCE	name	jules	distinctive	1.0
FRANCE	name	distribution	generic_business	1.0
US	name	taylor	distinctive	1.0
US	addr	bldg	unit_or_building	1.0
US	name	resources	generic_business	1.0
FRANCE	name	sas	legal_form	1.0
FRANCE	name	sarl	legal_form	1.0
FRANCE	name	groupe	generic_business	1.0
FRANCE	name	des	connector	1.0
US	addr	w	direction_or_connector	1.0
US	name	printing	generic_business	1.0
US	name	marketing	generic_business	1.0
FRANCE	addr	jacques	distinctive	1.0
INDIA	name	rama	distinctive	1.0
INDIA	name	ludhiana	place	1.0
INDIA	name	shah	distinctive	1.0
INDIA	name	satya	distinctive	1.0
INDIA	name	dealers	generic_business	1.0
INDIA	name	gandhinagar	place	1.0
INDIA	name	radha	distinctive	1.0
INDIA	name	printers	generic_business	1.0
US	addr	ln	street_type	1.0
US	addr	ave	street_type	1.0
US	addr	dr	street_type	1.0
US	addr	rd	street_type	1.0
US	addr	st	street_type	1.0
US	name	mkt	generic_business	1.0
US	name	ent	generic_business	1.0
US	name	perez	distinctive	1.0
US	name	wholesale	generic_business	1.0
US	name	diner	generic_business	1.0
US	name	harris	distinctive	1.0
INDIA	name	information	generic_business	1.0
INDIA	name	resources	generic_business	1.0
INDIA	name	shipping	generic_business	1.0
FRANCE	addr	marcel	distinctive	1.0
FRANCE	addr	maurice	distinctive	1.0
FRANCE	addr	gaulle	distinctive	1.0
FRANCE	addr	rd	street_type	1.0
FRANCE	addr	rene	distinctive	1.0
US	name	sanchez	distinctive	1.0
US	name	thompson	distinctive	1.0
INDIA	addr	bhagwan	distinctive	1.0
INDIA	addr	gajanan	distinctive	1.0
INDIA	addr	meera	distinctive	1.0
FRANCE	name	de	connector	1.0
FRANCE	name	eurl	legal_form	1.0
US	name	store	generic_business	1.0
US	addr	n	direction_or_connector	1.0
FRANCE	addr	hugo	distinctive	1.0
FRANCE	addr	gustave	distinctive	1.0
FRANCE	addr	roger	distinctive	1.0
FRANCE	addr	joseph	distinctive	1.0
FRANCE	addr	leon	distinctive	1.0
INDIA	name	funds	generic_business	1.0
INDIA	name	mohali	place	1.0
FRANCE	name	edouard	distinctive	1.0
FRANCE	name	comptabilite	generic_business	1.0
FRANCE	name	rostand	distinctive	1.0
INDIA	name	agarwal	distinctive	1.0
US	name	ramirez	distinctive	1.0
INDIA	addr	banerjee	distinctive	1.0
FRANCE	name	construction	generic_business	1.0
FRANCE	name	immobiliere	generic_business	1.0
INDIA	name	communications	generic_business	1.0
INDIA	name	enterprise	generic_business	1.0
INDIA	name	transport	generic_business	1.0
INDIA	name	export	generic_business	1.0
INDIA	name	prakash	distinctive	1.0
FRANCE	name	bernadette	distinctive	1.0
INDIA	name	menejment	generic_business	1.0
INDIA	name	import	generic_business	1.0
INDIA	name	pharmacy	generic_business	1.0
US	name	engg	generic_business	1.0
US	name	tech	generic_business	1.0
US	name	mgmt	generic_business	1.0
US	name	ind	generic_business	1.0
FRANCE	name	bernard	distinctive	1.0
FRANCE	name	logistique	generic_business	1.0
US	name	clark	distinctive	1.0
US	name	lewis	distinctive	1.0
INDIA	name	patna	place	1.0
INDIA	name	coimbatore	place	1.0
INDIA	name	distributors	generic_business	1.0
FRANCE	addr	appartement	unit_or_building	1.0
FRANCE	addr	eugene	distinctive	1.0
FRANCE	addr	auguste	distinctive	1.0
INDIA	name	bhubaneswar	place	1.0
INDIA	name	nagpur	place	1.0
INDIA	name	tours	generic_business	1.0
INDIA	name	medicals	generic_business	1.0
US	name	e	place	1.0
US	name	w	place	1.0
US	name	svc	generic_business	1.0
INDIA	addr	buildings	unit_or_building	1.0
FRANCE	name	industries	generic_business	1.0
US	name	robinson	distinctive	1.0
US	name	mfg	generic_business	1.0
US	name	flores	distinctive	1.0
US	name	lending	generic_business	1.0
US	name	transit	generic_business	1.0
US	name	automotive	generic_business	1.0
US	name	restaurant	generic_business	1.0
US	name	torres	distinctive	1.0
US	name	adams	distinctive	1.0
US	name	rogers	distinctive	1.0
US	name	allen	distinctive	1.0
US	name	transport	generic_business	1.0
US	name	morgan	distinctive	1.0
US	name	s	place	1.0
US	name	n	place	1.0
INDIA	name	sarvises	generic_business	1.0
INDIA	name	meerut	place	1.0
INDIA	name	sas	legal_form	1.0
INDIA	name	chandra	distinctive	1.0
INDIA	name	production	generic_business	1.0
INDIA	name	ghaziabad	place	1.0
US	name	consulting	generic_business	1.0
US	name	james	distinctive	1.0
FRANCE	name	informatique	generic_business	1.0
FRANCE	name	activites	generic_business	1.0
INDIA	addr	chatterjee	distinctive	1.0
US	name	motors	generic_business	1.0
FRANCE	addr	edouard	distinctive	1.0
FRANCE	addr	robert	distinctive	1.0
FRANCE	addr	alfred	distinctive	1.0
FRANCE	addr	baptiste	distinctive	1.0
FRANCE	addr	pasteur	distinctive	1.0
FRANCE	addr	cazaux	distinctive	1.0
FRANCE	addr	appt	unit_or_building	1.0
FRANCE	addr	gambetta	distinctive	1.0
INDIA	name	stores	generic_business	1.0
INDIA	name	solyushans	generic_business	1.0
INDIA	name	housing	generic_business	1.0
INDIA	name	retail	generic_business	1.0
INDIA	name	beverages	generic_business	1.0
INDIA	name	commercial	generic_business	1.0
INDIA	name	gurgaon	place	1.0
INDIA	name	surat	place	1.0
US	name	mitchell	distinctive	1.0
US	name	nguyen	distinctive	1.0
US	name	healthcare	generic_business	1.0
US	name	assistance	generic_business	1.0
US	name	communications	generic_business	1.0
US	name	manufacturing	generic_business	1.0
US	name	farms	generic_business	1.0
US	name	scott	distinctive	1.0
US	name	foods	generic_business	1.0
US	name	entertainment	generic_business	1.0
US	name	myers	distinctive	1.0
US	name	finance	generic_business	1.0
US	name	rivera	distinctive	1.0
US	name	transportation	generic_business	1.0
US	name	gomez	distinctive	1.0
US	name	parker	distinctive	1.0
US	name	stewart	distinctive	1.0
US	name	morris	distinctive	1.0
US	name	nelson	distinctive	1.0
INDIA	name	restaurant	generic_business	1.0
INDIA	name	works	generic_business	1.0
INDIA	name	leasing	generic_business	1.0
FRANCE	name	solution	generic_business	1.0
FRANCE	name	nelson	distinctive	1.0
FRANCE	name	renault	distinctive	1.0
INDIA	name	fund	generic_business	1.0
INDIA	name	automobiles	generic_business	1.0
FRANCE	name	diane	distinctive	1.0
INDIA	addr	vivekanand	distinctive	1.0
INDIA	addr	kohinoor	distinctive	1.0
US	name	marshall	distinctive	1.0
US	name	diaz	distinctive	1.0
US	name	campbell	distinctive	1.0
US	name	roberts	distinctive	1.0
US	name	turner	distinctive	1.0
US	name	carter	distinctive	1.0
INDIA	name	sales	generic_business	1.0
INDIA	name	the	connector	1.0
INDIA	name	indore	place	1.0
INDIA	name	madurai	place	1.0
FRANCE	name	prana	distinctive	1.0
FRANCE	name	richard	distinctive	1.0
FRANCE	name	mathieu	distinctive	1.0
INDIA	name	gautam	distinctive	1.0
INDIA	name	securities	generic_business	1.0
INDIA	name	advisory	generic_business	1.0
INDIA	name	arihanta	distinctive	1.0
US	name	christ	distinctive	1.0
US	name	fox	distinctive	1.0
US	name	edwards	distinctive	1.0
US	name	collins	distinctive	1.0
US	name	beth	distinctive	1.0
US	name	grace	distinctive	1.0
FRANCE	addr	leonie	distinctive	1.0
FRANCE	addr	maximilien	distinctive	1.0
US	name	chicago	place	1.0
US	name	nova	distinctive	1.0
US	name	llp	legal_form	1.0
US	name	contracting	generic_business	1.0
FRANCE	name	assistance	generic_business	1.0
FRANCE	name	production	generic_business	1.0
INDIA	addr	tiwari	distinctive	1.0
INDIA	addr	rajesh	distinctive	1.0
FRANCE	addr	eric	distinctive	1.0
US	name	phillips	distinctive	1.0
INDIA	name	west	place	1.0
INDIA	name	and	connector	1.0
INDIA	name	rajasthan	place	1.0
INDIA	name	cochin	place	1.0
INDIA	name	ganpati	distinctive	1.0
INDIA	name	processors	generic_business	1.0
INDIA	name	vijayawada	place	1.0
INDIA	name	salem	place	1.0
US	name	cooper	distinctive	1.0
US	name	morales	distinctive	1.0
US	name	reyes	distinctive	1.0
US	name	kim	distinctive	1.0
US	name	market	generic_business	1.0
US	name	murphy	distinctive	1.0
US	name	douglas	distinctive	1.0
US	name	recruiting	generic_business	1.0
INDIA	addr	verma	distinctive	1.0
US	name	evans	distinctive	1.0
US	name	towing	generic_business	1.0
US	name	osprey	distinctive	1.0
US	name	sales	generic_business	1.0
US	name	kelly	distinctive	1.0
US	name	installation	generic_business	1.0
US	name	catering	generic_business	1.0
US	name	publishing	generic_business	1.0
US	name	richardson	distinctive	1.0
US	name	reed	distinctive	1.0
US	name	bailey	distinctive	1.0
US	name	detailing	generic_business	1.0
INDIA	addr	george	distinctive	1.0
FRANCE	name	avec	connector	1.0
US	name	orion	distinctive	1.0
US	name	gutierrez	distinctive	1.0
INDIA	name	development	generic_business	1.0
INDIA	name	ananda	distinctive	1.0
INDIA	name	travels	generic_business	1.0
INDIA	name	de	connector	1.0
INDIA	name	saliushanas	distinctive	1.0
FRANCE	name	alphonse	distinctive	1.0
FRANCE	name	lily	distinctive	1.0
US	name	boston	place	1.0
US	name	landscaping	generic_business	1.0
US	name	peterson	distinctive	1.0
US	name	watson	distinctive	1.0
US	name	couriers	generic_business	1.0
FRANCE	name	agence	generic_business	1.0
FRANCE	name	francoise	distinctive	1.0
FRANCE	name	of	connector	1.0
INDIA	addr	manish	distinctive	1.0
US	name	grading	generic_business	1.0
FRANCE	addr	marie	distinctive	1.0
FRANCE	addr	camille	distinctive	1.0
FRANCE	addr	michel	distinctive	1.0
INDIA	name	noida	place	1.0
INDIA	name	resorts	generic_business	1.0
INDIA	name	mills	generic_business	1.0
INDIA	name	farms	generic_business	1.0
INDIA	name	hotels	generic_business	1.0
INDIA	name	lucknow	place	1.0
INDIA	name	financial	generic_business	1.0
INDIA	name	ahmedabad	place	1.0
FRANCE	addr	salengro	distinctive	1.0
FRANCE	addr	claude	distinctive	1.0
FRANCE	addr	leopold	distinctive	1.0
FRANCE	addr	dijeaux	distinctive	1.0
INDIA	addr	madhav	distinctive	1.0
INDIA	addr	ashish	distinctive	1.0
FRANCE	name	technologies	generic_business	1.0
FRANCE	name	catherine	distinctive	1.0
INDIA	addr	pandit	distinctive	1.0
INDIA	addr	left	direction_or_connector	1.0
US	name	maintenance	generic_business	1.0
US	name	ortiz	distinctive	1.0
US	name	salon	generic_business	1.0
US	name	cohen	distinctive	1.0
US	name	plumbing	generic_business	1.0
US	name	brewing	generic_business	1.0
US	name	fisheries	generic_business	1.0
US	name	cox	distinctive	1.0
US	name	roofing	generic_business	1.0
US	name	repair	generic_business	1.0
US	name	howard	distinctive	1.0
US	name	jewelers	generic_business	1.0
FRANCE	addr	jose	distinctive	1.0
US	name	chavez	distinctive	1.0
US	name	ross	distinctive	1.0
US	name	bennett	distinctive	1.0
US	name	brokerage	generic_business	1.0
US	name	ruiz	distinctive	1.0
US	name	emanuel	distinctive	1.0
US	name	barnes	distinctive	1.0
FRANCE	addr	palissy	distinctive	1.0
FRANCE	addr	nungesser	distinctive	1.0
US	name	productions	generic_business	1.0
US	name	distribution	generic_business	1.0
US	name	ramos	distinctive	1.0
US	name	advertising	generic_business	1.0
FRANCE	addr	etage	unit_or_building	1.0
FRANCE	addr	antoine	distinctive	1.0
INDIA	name	ravi	distinctive	1.0
INDIA	name	farming	generic_business	1.0
INDIA	name	haryana	place	1.0
INDIA	name	howrah	place	1.0
INDIA	name	divya	distinctive	1.0
INDIA	name	mars	distinctive	1.0
FRANCE	addr	raymond	distinctive	1.0
US	name	alexander	distinctive	1.0
US	name	accounting	generic_business	1.0
US	name	powell	distinctive	1.0
US	name	patel	distinctive	1.0
US	name	wallace	distinctive	1.0
US	name	sullivan	distinctive	1.0
INDIA	addr	anil	distinctive	1.0
FRANCE	addr	curie	distinctive	1.0
FRANCE	addr	jaures	distinctive	1.0
FRANCE	addr	jeanne	distinctive	1.0
FRANCE	addr	guesde	distinctive	1.0
INDIA	name	svastik	distinctive	1.0
INDIA	name	pharmaceuticals	generic_business	1.0
INDIA	name	agencies	generic_business	1.0
INDIA	name	jaipur	place	1.0
INDIA	name	education	generic_business	1.0
US	name	hancock	distinctive	1.0
US	name	vasquez	distinctive	1.0
US	name	castillo	distinctive	1.0
US	name	sanders	distinctive	1.0
US	name	gonzales	distinctive	1.0
INDIA	addr	kishan	distinctive	1.0
US	name	perry	distinctive	1.0
US	name	charles	distinctive	1.0
US	name	fisher	distinctive	1.0
US	name	jenkins	distinctive	1.0
US	name	virginia	place	1.0
US	name	hughes	distinctive	1.0
US	name	gibson	distinctive	1.0
US	name	romero	distinctive	1.0
US	name	babcock	distinctive	1.0
US	name	coleman	distinctive	1.0
US	name	mae	distinctive	1.0
US	name	raven	distinctive	1.0
INDIA	addr	suresh	distinctive	1.0
INDIA	addr	mehta	distinctive	1.0
US	name	foster	distinctive	1.0
US	name	russell	distinctive	1.0
US	name	mendoza	distinctive	1.0
US	name	alvarez	distinctive	1.0
INDIA	name	solution	generic_business	1.0
INDIA	name	labs	generic_business	1.0
INDIA	name	amar	distinctive	1.0
INDIA	name	broking	generic_business	1.0
INDIA	name	kerala	place	1.0
INDIA	name	mohan	distinctive	1.0
FRANCE	name	emeraude	distinctive	1.0
INDIA	name	retails	generic_business	1.0
FRANCE	addr	franck	distinctive	1.0
FRANCE	addr	faraday	distinctive	1.0
FRANCE	addr	jude	distinctive	1.0
FRANCE	addr	lauriol	distinctive	1.0
FRANCE	addr	dominique	distinctive	1.0
INDIA	addr	mahaveer	distinctive	1.0
FRANCE	name	consultations	generic_business	1.0
FRANCE	name	ouest	place	1.0
US	name	simmons	distinctive	1.0
US	name	moreno	distinctive	1.0
US	name	stanley	distinctive	1.0
US	name	ellis	distinctive	1.0
US	name	hayes	distinctive	1.0
US	name	griffin	distinctive	1.0
US	name	mcdonald	distinctive	1.0
FRANCE	name	leo	distinctive	1.0
FRANCE	name	fabrique	generic_business	1.0
FRANCE	name	maurice	distinctive	1.0
US	name	vance	distinctive	1.0
US	name	patterson	distinctive	1.0
US	name	aguilar	distinctive	1.0
FRANCE	addr	aristide	distinctive	1.0
INDIA	name	college	generic_business	1.0
INDIA	name	chennai	place	1.0
FRANCE	addr	alexandre	distinctive	1.0
FRANCE	addr	briand	distinctive	1.0
FRANCE	addr	felix	distinctive	1.0
FRANCE	addr	martin	distinctive	1.0
FRANCE	addr	ernest	distinctive	1.0
US	name	harrison	distinctive	1.0
US	name	bryant	distinctive	1.0
US	name	graf	distinctive	1.0
US	name	stevens	distinctive	1.0
FRANCE	addr	caillaud	distinctive	1.0
US	name	mckinley	distinctive	1.0
US	name	atlanta	place	1.0
US	name	graham	distinctive	1.0
US	name	dixon	distinctive	1.0
FRANCE	addr	bernard	distinctive	1.0
FRANCE	addr	leclerc	distinctive	1.0
FRANCE	addr	gabriel	distinctive	1.0
FRANCE	addr	anatole	distinctive	1.0
FRANCE	addr	etienne	distinctive	1.0
INDIA	name	adarsh	distinctive	1.0
INDIA	name	facilities	generic_business	1.0
INDIA	name	kiran	distinctive	1.0
INDIA	name	restaurants	generic_business	1.0
FRANCE	name	arthur	distinctive	1.0
FRANCE	name	gabriel	distinctive	1.0
INDIA	name	outsourcing	generic_business	1.0
INDIA	name	nursing	generic_business	1.0
INDIA	name	eastern	place	1.0
INDIA	name	swastik	distinctive	1.0
US	name	reynolds	distinctive	1.0
US	name	montreal	place	1.0
US	name	simpson	distinctive	1.0
INDIA	addr	dutta	distinctive	1.0
INDIA	addr	vinod	distinctive	1.0
INDIA	addr	ratan	distinctive	1.0
INDIA	addr	dayal	distinctive	1.0
US	name	vargas	distinctive	1.0
US	name	sanitation	generic_business	1.0
US	name	crawford	distinctive	1.0
FRANCE	addr	bonnefin	distinctive	1.0
FRANCE	addr	becker	distinctive	1.0
FRANCE	addr	mazarin	distinctive	1.0
FRANCE	addr	brandt	distinctive	1.0
FRANCE	addr	willy	distinctive	1.0
FRANCE	name	industrie	generic_business	1.0
US	name	jimenez	distinctive	1.0
US	name	angel	distinctive	1.0
INDIA	name	sunrise	distinctive	1.0
INDIA	name	hyderabad	place	1.0
INDIA	name	gopal	distinctive	1.0
INDIA	name	shubham	distinctive	1.0
INDIA	name	kolhapur	place	1.0
INDIA	name	arya	distinctive	1.0
INDIA	name	sam	distinctive	1.0
INDIA	name	movers	generic_business	1.0
INDIA	name	vijanes	distinctive	1.0
FRANCE	addr	marc	distinctive	1.0
FRANCE	addr	tassigny	distinctive	1.0
FRANCE	addr	lattre	distinctive	1.0
US	name	stardust	distinctive	1.0
US	name	shreya	distinctive	1.0
US	name	mustang	distinctive	1.0
US	name	athena	distinctive	1.0
INDIA	addr	abdul	distinctive	1.0
FRANCE	name	communication	generic_business	1.0
FRANCE	name	rene	distinctive	1.0
INDIA	addr	vaibhav	distinctive	1.0
US	name	chadwick	distinctive	1.0
US	name	fernandez	distinctive	1.0
FRANCE	addr	condillac	distinctive	1.0
FRANCE	addr	luther	distinctive	1.0
FRANCE	addr	debussy	distinctive	1.0
FRANCE	addr	lautrec	distinctive	1.0
FRANCE	name	laboratoire	generic_business	1.0
INDIA	addr	aggarwal	distinctive	1.0
INDIA	addr	siddharth	distinctive	1.0
FRANCE	addr	ferdinand	distinctive	1.0
FRANCE	addr	vauban	distinctive	1.0
FRANCE	addr	fernand	distinctive	1.0
INDIA	name	lotus	distinctive	1.0
INDIA	name	bombay	place	1.0
INDIA	name	southern	place	1.0
INDIA	name	arihant	distinctive	1.0
INDIA	name	laxmi	distinctive	1.0
INDIA	name	pune	place	1.0
FRANCE	addr	thiers	distinctive	1.0
FRANCE	addr	colbert	distinctive	1.0
FRANCE	addr	francis	distinctive	1.0
FRANCE	addr	denis	distinctive	1.0
INDIA	addr	keshav	distinctive	1.0
FRANCE	name	victor	distinctive	1.0
FRANCE	name	camille	distinctive	1.0
US	name	zeo	distinctive	1.0
US	name	indonesia	place	1.0
US	name	guzman	distinctive	1.0
FRANCE	addr	tiberghien	distinctive	1.0
FRANCE	addr	edmond	distinctive	1.0
